ID_cliente,Cancelacion,Genero,Adulto_Mayor,Asociado,Dependientes,Antigüedad,Servicio_Telefonico,Lineas_Multiples,Servicio_Internet,Seguridad_En_Linea,Respaldo_En_Linea,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias
0078-XZMHT,False,Masculino,False,True,False,72,True,Si,DSL,No,Si,Si,Si,Si,Si,Dos años,True,Transferencia bancaria (automatica),85.15,6316.2,2.838
0080-EMYVY,False,Femenino,False,False,False,14,True,No,DSL,No,Si,No,No,No,No,Un año,False,Tarjeta de credito (automatica),51.45,727.85,1.715
0080-OROZO,False,Femenino,False,False,False,35,True,No,Fibra optica,No,No,Si,Si,Si,Si,Un año,True,Cheque electronico,99.25,3532.0,3.308
0082-LDZUE,False,Masculino,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Mes a mes,True,Cheque por correo,44.3,44.3,1.477
0082-OQIQY,False,Masculino,False,False,False,29,True,No,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,True,Cheque electronico,94.2,2607.6,3.14
0083-PIVIK,False,Masculino,False,False,False,64,True,Si,DSL,Si,Si,Si,Si,Si,No,Un año,False,Cheque electronico,81.25,5567.55,2.708
0089-IIQKO,False,Femenino,False,True,True,39,True,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,True,Tarjeta de credito (automatica),99.95,3767.4,3.332
0093-EXYQL,False,Femenino,True,False,False,40,True,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,True,Cheque electronico,91.55,3673.6,3.052
0093-XWZFY,True,Masculino,False,False,False,40,True,Si,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,True,Tarjeta de credito (automatica),104.5,4036.85,3.483
0094-OIFMO,True,Femenino,True,False,False,11,True,No,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,True,Cheque electronico,95.0,1120.3,3.167
0096-BXERS,False,Femenino,False,True,False,6,True,Si,DSL,No,No,No,No,No,No,Mes a mes,False,Cheque electronico,50.35,314.55,1.678
0096-FCPUF,False,Masculino,False,False,False,30,True,Si,DSL,Si,No,No,No,No,Si,Mes a mes,True,Cheque por correo,64.5,1888.45,2.15
0098-BOWSO,False,Masculino,False,False,False,27,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,True,Cheque electronico,19.4,529.8,0.647
0100-DUVFC,False,Masculino,True,True,False,70,True,Si,Fibra optica,No,Si,Si,No,Si,Si,Un año,True,Cheque electronico,104.8,7308.95,3.493
0103-CSITQ,False,Femenino,False,True,False,57,True,Si,Fibra optica,No,Si,Si,Si,Si,Si,Un año,True,Transferencia bancaria (automatica),109.4,6252.7,3.647
0104-PPXDV,False,Masculino,False,True,False,58,True,No,DSL,No,No,Si,No,No,No,Un año,False,Tarjeta de credito (automatica),50.3,2878.55,1.677
0106-GHRQR,False,Masculino,False,False,False,16,True,Si,DSL,No,Si,Si,No,No,Si,Mes a mes,True,Transferencia bancaria (automatica),71.4,1212.1,2.38
0106-UGRDO,False,Femenino,False,True,False,69,True,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,True,Cheque electronico,116.0,8182.85,3.867
0107-WESLM,True,Masculino,False,False,False,1,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,True,Cheque electronico,19.85,19.85,0.662
0107-YHINA,True,Masculino,False,False,True,1,True,Si,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,True,Cheque electronico,99.75,99.75,3.325
0111-KLBQG,False,Masculino,True,True,True,32,True,No,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,True,Cheque por correo,93.95,2861.45,3.132
0112-QAWRZ,False,Masculino,False,True,True,16,True,Si,Fibra optica,No,No,Si,No,Si,No,Mes a mes,True,Transferencia bancaria (automatica),90.8,1442.2,3.027
0112-QWPNC,True,Masculino,False,True,False,49,True,Si,DSL,Si,No,Si,Si,Si,Si,Un año,False,Cheque electronico,84.35,4059.35,2.812
0114-IGABW,False,Femenino,False,True,False,71,False,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Dos años,False,Transferencia bancaria (automatica),58.25,4145.9,1.942
0114-PEGZZ,False,Femenino,False,False,False,33,True,Si,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,False,Cheque electronico,107.55,3645.5,3.585
0114-RSRRW,False,Femenino,False,True,False,10,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,True,Transferencia bancaria (automatica),19.95,187.75,0.665
0115-TFERT,True,Masculino,False,True,False,21,True,Si,Fibra optica,No,Si,Si,Si,Si,Si,Mes a mes,True,Cheque electronico,111.2,2317.1,3.707
0117-LFRMW,True,Masculino,False,True,True,37,False,Sin servicio telefonico,DSL,Si,Si,Si,No,No,No,Mes a mes,False,Transferencia bancaria (automatica),40.2,1448.8,1.34
0118-JPNOY,False,Femenino,True,False,False,26,True,No,Fibra optica,Si,No,No,No,Si,No,Mes a mes,True,Tarjeta de credito (automatica),85.8,2193.65,2.86
0120-YZLQA,True,Masculino,False,False,False,71,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,True,Tarjeta de credito (automatica),19.9,1355.1,0.663
0121-SNYRK,False,Masculino,False,False,False,50,False,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Un año,True,Cheque por correo,35.4,1748.9,1.18
0122-OAHPZ,True,Femenino,False,False,False,7,True,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,True,Cheque electronico,73.85,511.25,2.462
0123-CRBRT,False,Femenino,False,True,True,61,True,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,False,Cheque por correo,88.1,5526.75,2.937
0125-LZQXK,True,Masculino,False,False,False,15,True,No,Fibra optica,No,No,Si,Si,Si,Si,Mes a mes,True,Cheque electronico,101.35,1553.95,3.378
0128-MKWSG,False,Femenino,False,False,True,26,False,Sin servicio telefonico,DSL,Si,No,No,Si,No,Si,Mes a mes,False,Cheque por correo,45.8,1147.0,1.527
0129-KPTWJ,False,Masculino,False,True,False,72,True,No,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,True,Cheque electronico,94.65,6747.35,3.155
0129-QMPDR,False,Masculino,False,True,True,44,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,True,Transferencia bancaria (automatica),20.5,865.05,0.683
0130-SXOUN,False,Masculino,False,False,False,66,True,Si,Fibra optica,No,Si,No,No,No,Si,Mes a mes,False,Tarjeta de credito (automatica),89.4,5976.9,2.98
0133-BMFZO,True,Femenino,False,False,False,2,True,No,Fibra optica,Si,Si,No,Si,No,No,Mes a mes,True,Cheque electronico,86.25,181.65,2.875
0134-XWXCE,False,Femenino,True,False,False,44,True,No,DSL,No,No,Si,Si,Si,Si,Un año,False,Transferencia bancaria (automatica),74.85,3268.05,2.495
0135-NMXAP,True,Femenino,False,False,False,12,True,Si,Fibra optica,No,Si,No,No,Si,No,Mes a mes,True,Transferencia bancaria (automatica),89.75,1052.4,2.992
0136-IFMYD,False,Masculino,True,True,False,69,True,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos años,True,Cheque electronico,109.95,7634.25,3.665
0137-OCGAB,True,Femenino,False,False,False,1,True,Si,Fibra optica,No,Si,No,No,No,No,Mes a mes,True,Cheque por correo,80.2,80.2,2.673
0137-UDEUO,True,Femenino,False,False,False,3,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,False,Cheque por correo,19.85,63.75,0.662
0139-IVFJG,False,Femenino,False,True,False,2,True,No,Fibra optica,Si,Si,No,No,Si,No,Mes a mes,False,Cheque electronico,90.35,190.5,3.012
0141-YEAYS,False,Femenino,True,False,False,27,True,Si,Fibra optica,No,Si,Si,No,No,No,Mes a mes,True,Transferencia bancaria (automatica),86.45,2401.05,2.882
0142-GVYSN,False,Masculino,False,False,False,26,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,True,Cheque electronico,20.3,511.25,0.677
0147-ESWWR,False,Femenino,True,True,False,39,True,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,True,Cheque electronico,101.25,3949.15,3.375
0148-DCDOS,True,Masculino,False,False,False,25,True,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,True,Transferencia bancaria (automatica),94.7,2362.1,3.157
0151-ONTOV,True,Femenino,False,False,False,1,True,No,Fibra optica,No,No,No,No,No,No,Mes a mes,False,Cheque por correo,70.9,70.9,2.363
0154-QYHJU,True,Masculino,False,False,False,29,True,No,DSL,Si,Si,No,Si,No,No,Un año,True,Cheque electronico,58.75,1696.2,1.958
0156-FVPTA,True,Masculino,False,True,False,22,True,No,DSL,Si,No,No,Si,No,No,Mes a mes,True,Cheque electronico,54.2,1152.7,1.807
0162-RZGMZ,True,Femenino,True,False,False,5,True,No,DSL,Si,Si,No,Si,No,No,Mes a mes,False,Tarjeta de credito (automatica),59.9,287.85,1.997
0164-APGRB,False,Femenino,False,False,False,72,True,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,True,Cheque electronico,114.9,8496.7,3.83
0164-XAIRP,False,Femenino,False,False,False,24,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,True,Transferencia bancaria (automatica),19.55,470.2,0.652
0168-XZKBB,False,Femenino,False,True,False,19,True,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,True,Cheque electronico,86.85,1564.4,2.895
0174-QRVVY,False,Masculino,False,True,True,71,True,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,False,Tarjeta de credito (automatica),25.35,1847.55,0.845
0177-PXBAT,False,Masculino,True,True,False,33,True,Si,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,True,Transferencia bancaria (automatica),109.9,3694.7,3.663
0178-CIIKR,False,Femenino,False,False,False,3,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,False,Cheque por correo,19.95,58.0,0.665
0178-SZBHO,False,Masculino,False,True,True,47,True,Si,Fibra optica,No,Si,No,No,Si,No,Mes a mes,False,Cheque electronico,87.2,4017.45,2.907
0181-RITDD,False,Masculino,False,True,True,62,True,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,False,Cheque por correo,108.15,6825.65,3.605
0186-CAERR,False,Masculino,False,False,False,71,True,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,True,Transferencia bancaria (automatica),116.3,8309.55,3.877
0187-QSXOE,False,Masculino,True,True,False,7,True,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,True,Cheque electronico,89.0,605.45,2.967
0187-WZNAB,False,Femenino,False,True,True,27,True,No,Fibra optica,Si,No,No,No,No,No,Mes a mes,False,Cheque por correo,74.4,1972.35,2.48
0188-GWFLE,False,Masculino,False,False,False,2,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,False,Cheque por correo,20.05,33.7,0.668
0191-EQUUH,False,Femenino,False,False,True,25,False,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Dos años,False,Transferencia bancaria (automatica),35.05,844.45,1.168
0191-ZHSKZ,False,Masculino,True,False,False,30,True,No,DSL,Si,Si,No,No,Si,Si,Mes a mes,True,Cheque electronico,74.75,2111.3,2.492
0193-ESZXP,True,Femenino,True,True,False,58,True,No,Fibra optica,Si,Si,No,Si,Si,Si,Un año,True,Tarjeta de credito (automatica),105.5,6205.5,3.517
0195-IESCP,True,Masculino,False,True,False,10,True,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,True,Cheque electronico,85.25,855.3,2.842
0196-JTUQI,False,Femenino,False,False,False,9,True,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,True,Tarjeta de credito (automatica),75.2,633.85,2.507
0196-VULGZ,True,Femenino,True,True,False,6,True,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,True,Cheque electronico,84.35,474.9,2.812
0197-PNKNK,False,Femenino,False,True,True,69,True,Si,Fibra optica,Si,No,Si,No,No,No,Un año,False,Transferencia bancaria (automatica),84.45,5848.6,2.815
0201-MIBOL,False,Femenino,True,False,False,66,True,Si,Fibra optica,Si,No,No,No,Si,Si,Dos años,True,Transferencia bancaria (automatica),102.4,6471.85,3.413
0201-OAMXR,True,Femenino,False,False,False,70,True,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,False,Tarjeta de credito (automatica),115.55,8127.6,3.852
0203-HHYIJ,True,Masculino,False,False,False,25,True,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,False,Transferencia bancaria (automatica),25.3,676.35,0.843
0206-OYVOC,False,Femenino,False,True,True,46,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,True,Cheque por correo,19.25,864.2,0.642
0206-TBWLC,False,Femenino,False,True,False,54,True,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,True,Cheque por correo,114.65,6049.5,3.822
0207-MDKNV,True,Femenino,False,False,False,15,True,No,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,False,Cheque electronico,105.1,1582.75,3.503
0208-BPQEJ,False,Femenino,False,True,True,12,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,False,Transferencia bancaria (automatica),19.4,198.1,0.647
0212-ISBBF,False,Femenino,False,False,False,22,False,Sin servicio telefonico,DSL,No,Si,No,No,Si,Si,Mes a mes,True,Cheque electronico,50.35,1098.85,1.678
0214-JHPFW,False,Femenino,False,True,False,70,False,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Dos años,False,Transferencia bancaria (automatica),57.8,4039.3,1.927
0215-BQKGS,False,Masculino,False,False,False,30,True,No,Fibra optica,Si,Si,Si,No,No,No,Mes a mes,True,Tarjeta de credito (automatica),84.3,2438.6,2.81
0218-QNVAS,False,Masculino,False,True,True,71,True,Si,Fibra optica,No,Si,No,No,Si,Si,Un año,False,Transferencia bancaria (automatica),100.55,7113.75,3.352
0219-QAERP,False,Masculino,False,True,False,30,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,False,Tarjeta de credito (automatica),19.8,576.65,0.66
0219-YTZUE,True,Masculino,False,True,True,4,True,Si,Fibra optica,No,Si,Si,No,No,No,Mes a mes,True,Transferencia bancaria (automatica),84.8,371.9,2.827
0220-EBGCE,True,Masculino,False,False,False,2,True,No,Fibra optica,No,No,Si,No,No,Si,Mes a mes,True,Cheque electronico,85.85,167.3,2.862
0221-NAUXK,False,Masculino,False,False,True,10,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,True,Transferencia bancaria (automatica),19.95,219.5,0.665
0221-WMXNQ,False,Masculino,True,False,False,4,True,No,Fibra optica,Si,No,No,No,No,No,Mes a mes,False,Cheque electronico,75.35,273.4,2.512
0222-CNVPT,False,Masculino,True,False,False,52,False,Sin servicio telefonico,DSL,Si,No,No,No,Si,Si,Mes a mes,True,Tarjeta de credito (automatica),48.8,2555.05,1.627
0224-HJAPT,True,Masculino,False,False,False,5,True,Si,DSL,No,No,No,No,No,No,Mes a mes,False,Cheque electronico,47.15,223.15,1.572
0224-NIJLP,False,Masculino,False,True,True,8,True,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,False,Cheque por correo,20.15,165.5,0.672
0224-RLWWD,False,Femenino,True,False,False,2,True,No,DSL,No,No,No,No,No,No,Mes a mes,True,Cheque electronico,44.3,89.3,1.477
0225-ZORZP,False,Masculino,False,False,False,3,True,No,Fibra optica,No,Si,No,No,No,Si,Mes a mes,False,Cheque electronico,84.3,235.05,2.81
0228-MAUWC,False,Masculino,False,False,False,19,True,Si,DSL,No,No,Si,Si,No,No,Mes a mes,False,Cheque electronico,59.55,1144.6,1.985
0229-LFJAF,False,Masculino,False,False,False,72,True,Si,DSL,Si,Si,Si,Si,No,No,Dos años,False,Transferencia bancaria (automatica),69.65,4908.25,2.322
0230-UBYPQ,False,Masculino,True,True,False,63,False,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Un año,False,Transferencia bancaria (automatica),36.1,2298.9,1.203
0230-WEQUW,False,Masculino,False,True,False,66,False,Sin servicio telefonico,DSL,Si,Si,Si,Si,Si,No,Dos años,True,Transferencia bancaria (automatica),56.6,3789.2,1.887
0231-LXVAP,True,Masculino,False,False,False,1,True,No,Fibra optica,No,No,No,Si,No,No,Mes a mes,True,Cheque electronico,75.9,75.9,2.53
0233-FTHAV,False,Femenino,False,False,False,60,True,Si,Fibra optica,No,No,Si,No,No,No,Un año,True,Transferencia bancaria (automatica),79.2,4765.0,2.64
0234-TEVTT,False,Femenino,False,True,True,48,False,Sin servicio telefonico,DSL,Si,No,Si,No,No,Si,Un año,False,Tarjeta de credito (automatica),45.0,2196.3,1.5
0235-KGSLC,True,Femenino,False,False,False,1,True,No,Fibra optica,No,No,Si,No,Si,No,Mes a mes,True,Tarjeta de credito (automatica),85.55,85.55,2.852
0236-HFWSV,True,Masculino,False,False,False,15,True,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,True,Cheque electronico,93.35,1444.65,3.112
0237-YFUTL,False,Femenino,False,True,False,50,True,Si,Fibra optica,Si,Si,No,Si,Si,Si,Mes a mes,True,Transferencia bancaria (automatica),109.65,5405.8,3.655
0238-WHBIQ,False,Masculino,False,True,True,72,True,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,False,Tarjeta de credito (automatica),89.7,6339.3,2.99
0239-OXEXL,False,Femenino,False,False,False,46,True,Si,Fibra optica,Si,Si,No,No,No,No,Mes a mes,False,Cheque por correo,84.25,3847.6,2.808
0244-LGNFY,False,Femenino,False,True,True,72,True,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,False,Transferencia bancaria (automatica),92.65,6733.0,3.088
